"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2015) - Fabrication de glaces et sorbets (NAF rév. 2, niveau classe, poste 10.52)";"Codes"
"idBank";"010537266";""
"Dernière mise à jour";"03/03/2023 08:45";""
"Période";"";""
"2022-02";"111.21";"A"
"2022-03";"113.36";"A"
"2022-04";"112.92";"A"
"2022-05";"104.99";"A"
"2022-06";"120.25";"A"
"2022-07";"114.8";"A"
"2022-08";"127.21";"A"
"2022-09";"123.23";"A"
"2022-10";"134.11";"A"
"2022-11";"126.48";"A"
"2022-12";"143.15";"A"
"2023-01";"121.24";"A"
